image_name,hue,sat,bright,ED,entropy,sdHue,sdSat,sdBright
01.jpeg,-0.09069388,0.264485937,0.612597786,1.176448892,0.191408384,0.199762659,0.114283075,7.623333574
02.jpeg,1.672802583,0.090133473,0.706584107,1.065876693,0.061237837,0.265810368,0.046533684,6.957561131
03.jpeg,0.230216711,0.76337971,0.553233303,0.684329509,0.205059632,0.293426933,0.124493735,7.248689295
04.jpeg,-2.143915989,0.352429072,0.633967889,1.019819742,0.186146691,0.229172053,0.05955046,7.379730303
05.jpeg,0.027962638,0.796863037,0.799778828,0.376419921,0.181444814,0.141584545,0.108986037,6.092002408
06.jpeg,1.088739159,0.431792968,0.426565148,0.761026043,0.263719643,0.236746689,0.123383038,7.290792462
07.jpeg,1.649962569,0.681322298,0.355235871,0.794972078,0.237993641,0.214626253,0.169998581,7.346125232
08.jpeg,0.987111606,0.353575495,0.286119139,1.163134921,0.197996433,0.252528544,0.093737358,7.158959668
09.jpeg,1.805085807,0.40769425,0.570518929,1.751276374,0.244183034,0.278347907,0.088394887,7.547665257
10.jpeg,-2.306562865,0.420272202,0.711699839,0.919556425,0.107864981,0.268526359,0.131131167,7.402907281
11.jpeg,3.047032367,0.360535993,0.347189139,0.948002209,0.193523034,0.224193044,0.091347413,7.405405833
12.jpeg,0.457696007,0.338461807,0.390864194,0.657752626,0.191686972,0.220305853,0.101353624,7.600152108
13.jpeg,-0.749279755,0.270110887,0.824776171,1.702307287,0.276391617,0.189815364,0.076608306,7.372843541
14.jpeg,0.926172697,0.450998965,0.243704594,0.576412303,0.162619951,0.187463799,0.044539009,5.549873366
15.jpeg,-0.058846032,0.552832848,0.180092096,0.847017251,0.333426696,0.164313438,0.112700492,6.108985027
16.jpg,0.914182493,0.303374859,0.487085011,0.938349916,0.213361718,0.248584647,0.149549593,7.79975108
17.jpeg,0.798645045,0.521629507,0.326873695,1.002395488,0.308152049,0.224756569,0.081096649,7.120887247
18.jpeg,0.442377459,0.33357122,0.222685372,0.516552078,0.203378232,0.150425886,0.076030249,6.111828995
19.jpeg,0.546507427,0.59808393,0.477158775,0.146738421,0.116644709,0.138481214,0.145315902,6.908416581
20.jpeg,2.824814784,0.253727385,0.679516775,1.072107811,0.179872481,0.157684911,0.117653523,7.063863387
21.jpeg,3.102179315,0.404074788,0.538743107,1.213620414,0.207583113,0.068431677,0.136807482,6.116439435
22.jpeg,1.501962542,0.239470542,0.642723957,1.384924638,0.225757883,0.160803654,0.073106237,6.919392582
23.jpeg,-0.016906375,0.774028904,0.535159189,1.004446036,0.255223168,0.318680531,0.094911071,7.358237533
24.jpeg,2.132626785,0.271611613,0.655212676,0.805864325,0.100367047,0.064003753,0.161865402,6.122491664
25.jpeg,-0.462864214,0.175349908,0.433153283,1.676382386,0.16560359,0.286517497,0.083858204,7.014313085
26.jpeg,0.38044018,0.643177174,0.562044976,0.843801999,0.273879617,0.208293504,0.088474287,7.287109539
27.jpeg,0.927983216,0.53234486,0.305840559,0.18321561,0.16317003,0.120828258,0.132462069,6.866688689
28.jpeg,0.330113116,0.636882579,0.209512548,0.413961159,0.229424622,0.169538284,0.105537657,6.622392801
29.jpeg,0.925205944,0.273159589,0.600278396,0.669262383,0.196929359,0.179380069,0.10278768,7.1120853
30.jpeg,1.170191107,0.34990463,0.383767935,1.056307301,0.233148232,0.308707338,0.092142541,7.557609035
31.jpeg,0.370611374,0.626192167,0.307169507,0.623278966,0.240032195,0.167835222,0.111645742,6.453575902
32.jpeg,0.918493291,0.292397025,0.230927371,1.316457515,0.171577979,0.144354774,0.099800891,5.957191372
33.jpeg,0.740131345,0.416174684,0.515468135,0.439797474,0.228279522,0.270580313,0.083249232,7.142211473
34.jpeg,0.569542694,0.527224272,0.577195043,1.119185447,0.339986424,0.199029262,0.120349217,7.353139406
35.jpeg,0.035560459,0.506033383,0.193139433,2.425063555,0.23300027,0.191976352,0.102527492,6.563084929
36.jpeg,0.347739474,0.536689921,0.495885128,0.829281814,0.267304492,0.228667477,0.17005,7.642003347
37.jpeg,-0.016794602,0.437029072,0.345131584,0.78228151,0.207237014,0.26377143,0.105908192,7.151716761
38.jpeg,0.401982581,0.223582502,0.193369137,1.467652565,0.224519985,0.12359756,0.120077375,5.907046549
39.jpeg,0.579144343,0.340887109,0.319549732,0.20645104,0.169183875,0.217310911,0.086174352,7.070556852
40.jpeg,-2.460366299,0.24233725,0.244450401,1.739855792,0.147537687,0.16048327,0.104183839,6.533177538
41.jpeg,0.742686824,0.550873791,0.345242643,0.33703046,0.180874279,0.238074981,0.084377655,6.860499443
42.jpeg,-1.540541345,0.61865138,0.503265475,1.497738931,0.264726924,0.217044624,0.132222248,7.660051823
43.jpg,-1.135178399,0.1561635,0.745998864,2.041677044,0.102758301,0.151847561,0.143462786,7.331681391
44.jpeg,-1.585162873,0.217261378,0.695036414,1.621019929,0.191874782,0.171964529,0.14981522,7.155007421
45.jpeg,0.091347662,0.560535636,0.792509017,1.212474661,0.233515713,0.199145749,0.082798283,7.489479559
46.jpeg,-2.465489439,0.318415186,0.707248304,1.088039003,0.159359842,0.209532223,0.10769001,7.571852204
47.jpeg,0.439588335,0.67354823,0.639033966,0.897317737,0.286611809,0.255672174,0.127736901,7.731048426
48.png,0.796883429,0.161701977,0.711253198,0.412343596,0.108329891,0.2449277,0.141867324,7.145322873
49.jpeg,0.756514227,0.238660438,0.621112232,0.8906801,0.187488255,0.188651287,0.080665907,6.872967893
50.jpeg,0.581128335,0.48928017,0.745768787,1.424596533,0.202850122,0.186334125,0.101381836,7.309664457